head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,3,0,0,0.5774,97900
0,2,0,0,0.5774,97916
0,3,0,0,0.5774,97932
0,3,0,0,0.5774,97949
0,0,0,0,0.5774,97965
0,6,0,0,0.5774,97982
0,3,0,0,0.5774,97999
0,3,0,0,0.5774,98015
0,3,0,0,0.5774,98032
0,3,0,0,0.5774,98050
0,3,0,0,0.5774,98065
0,3,0,0,0.5774,98082
0,3,0,0,0.5774,98099
0,3,0,0,0.5774,98115
0,3,0,0,0.5774,98132
0,3,0,0,0.5774,98149
0,3,0,0,0.5774,98165
0,3,0,0,0.5774,98182
0,6,0,0,0.5774,98199
0,1,0,0,0.5774,98216
0,1,0,0,0.5774,98232
0,2,0,0,0.5774,98249
0,2,0,0,0.5774,98265
0,2,0,0,0.5774,98282
0,2,0,0,0.5774,98299
0,4,0,0,0.5774,98316
0,5,0,0,0.5774,98332
0,7,0,0,0.5774,98349
0,8,0,0,0.5774,98366
0,9,0,0,0.5774,98382
0,10,0,0,0.5774,98399
0,3,0,0,0.5774,98415
0,3,0,0,0.5774,98432
0,3,0,0,0.5774,98449
0,3,0,0,0.5774,98465
0,3,0,0,0.5774,98482
0,3,0,0,0.5774,98499
0,3,0,0,0.5774,98515
0,3,0,0,0.5774,98532
0,3,0,0,0.5774,98549
0,4,0,0,0.5774,98569
0,0,0,0,0.5774,98582
0,1,0,0,0.5774,98599
0,6,0,0,0.5774,98615
0,0,0,0,0.5774,98632
0,0,0,0,0.5774,98648
0,0,0,0,0.5774,98665
0,0,0,0,0.5774,98682
0,0,0,0,0.5774,98698
0,0,0,0,0.5774,98715
0,0,0,0,0.5774,98732
0,0,0,0,0.5774,98748
0,0,0,0,0.5774,98765
0,0,0,0,0.5774,98782
0,0,0,0,0.5774,98798
0,0,0,0,0.5774,98815
0,0,0,0,0.5774,98832
0,0,0,0,0.5774,98849
0,0,0,0,0.5774,98865
0,0,0,0,0.5774,98882
0,3,0,0,0.5774,98899
0,5,0,0,0.5774,98916
0,6,0,0,0.5774,98933
0,8,0,0,0.5774,98949
0,0,0,0,0.5774,98966
0,9,0,0,0.5774,98982
0,21,0,0,0.5774,99000
0,11,0,0,0.5774,99016
0,12,0,0,0.5774,99032
0,2,0,0,0.5774,99050
0,1,0,0,0.5774,99065
0,3,0,0,0.5774,99082
0,3,0,0,0.5774,99099
0,3,0,0,0.5774,99115
0,3,0,0,0.5774,99132
0,3,0,0,0.5774,99149
0,3,0,0,0.5774,99165
0,3,0,0,0.5774,99182
0,3,0,0,0.5774,99199
0,3,0,0,0.5774,99215
0,2,0,0,0.5774,99233
0,3,0,0,0.5774,99249
0,2,0,0,0.5774,99265
0,3,0,0,0.5774,99282
0,3,0,0,0.5774,99299
0,2,0,0,0.5774,99316
0,3,0,0,0.5774,99332
0,3,0,0,0.5774,99349
0,3,0,0,0.5774,99366
0,3,0,0,0.5774,99383
0,2,0,0,0.5774,99399
0,6,0,0,0.5774,99415
0,3,0,0,0.5774,99432
0,3,0,0,0.5774,99449
0,3,0,0,0.5774,99466
0,3,0,0,0.5774,99482
0,2,0,0,0.5774,99499
0,2,0,0,0.5774,99515
0,3,0,0,0.5774,99532
0,4,0,0,0.5774,99549
0,2,0,0,0.5774,99565
0,3,0,0,0.5774,99582
0,2,0,0,0.5774,99599
0,1,0,0,0.5774,99615
0,2,0,0,0.5774,99632
0,3,0,0,0.5774,99649
0,3,0,0,0.5774,99665
0,3,0,0,0.5774,99682
0,2,0,0,0.5774,99699
0,3,0,0,0.5774,99716
0,3,0,0,0.5774,99732
0,0,0,0,0.5774,99748
0,0,0,0,0.5774,99765
0,0,0,0,0.5774,99782
0,0,0,0,0.5774,99799
0,0,0,0,0.5774,99815
0,0,0,0,0.5774,99832
0,0,0,0,0.5774,99849
0,-20,0,0,0.5774,99865
0,-13,0,0,0.5774,99883
