head_yaw,head_thrust,head_slip,cur_wavelength,rotation_direction,ms_now
0,0,0,4,1,11385
0,0,0,4,1,11402
0,0,0,4,1,11419
0,0,0,4,1,11435
0,0,0,4,1,11452
0,0,0,4,1,11469
0,0,0,4,1,11485
0,0,0,4,1,11501
0,0,0,4,1,11518
0,0,0,4,1,11535
0,0,0,4,1,11551
0,0,0,4,1,11568
0,0,0,4,1,11585
0,0,0,4,1,11603
0,0,0,4,1,11619
0,0,0,4,1,11636
0,0,0,4,1,11652
0,0,0,4,1,11669
0,0,0,4,1,11685
0,0,0,4,1,11702
0,0,0,4,1,11719
0,0,0,4,1,11734
0,0,0,4,1,11751
0,0,0,4,1,11769
0,0,0,4,1,11785
0,0,0,4,1,11802
0,0,0,4,1,11819
0,0,0,4,1,11835
0,0,0,4,1,11851
0,0,0,4,1,11869
0,0,0,4,1,11885
0,0,0,4,1,11901
0,0,0,4,1,11919
0,0,0,4,1,11934
0,0,0,4,1,11952
0,0,0,0,1,11969
0,0,0,0,1,11985
0,0,0,0,1,12002
0,0,0,0,1,12019
0,0,0,0,1,12035
0,0,0,0,1,12051
0,0,0,0,1,12069
0,0,0,0,1,12084
0,0,0,0,1,12101
0,0,0,0,1,12119
0,0,0,0,1,12134
0,0,0,0,1,12152
0,0,0,0,1,12169
0,0,0,0,1,12185
0,0,0,0,1,12202
0,0,0,0,1,12219
0,0,0,0,1,12235
0,0,0,0,1,12252
0,0,0,0,1,12268
0,0,0,0,1,12285
0,0,0,0,1,12302
0,0,0,0,1,12319
0,0,0,0,1,12335
0,0,0,0,1,12351
0,0,0,0,1,12369
0,0,0,0,1,12385
0,0,0,0,1,12401
0,0,0,0,1,12419
0,0,0,0,1,12435
0,0,0,0,1,12451
0,0,0,0,1,12469
0,0,0,0,1,12484
0,0,0,0,1,12501
0,0,0,0,1,12519
0,0,0,0,1,12535
0,0,0,0,1,12553
0,0,0,0,1,12569
0,0,0,0,1,12585
0,0,0,0,1,12602
0,0,0,0,1,12619
0,0,0,0,1,12635
0,0,0,0,1,12651
0,0,0,0,1,12669
0,0,0,0,1,12685
0,0,0,0,1,12702
0,0,0,0,1,12718
0,0,0,0,1,12735
0,0,0,0,1,12751
0,0,0,0,1,12768
0,0,0,0,1,12785
0,0,0,0,1,12802
0,0,0,0,1,12819
0,0,0,0,1,12834
0,0,0,0,1,12851
0,0,0,0,1,12869
0,0,0,0,1,12885
0,0,0,0,1,12902
0,0,0,0,1,12919
0,0,0,0,1,12935
0,0,0,0,1,12952
0,0,0,0,1,12969
0,0,0,0,1,12985
0,0,0,0,1,13002
0,0,0,0,1,13018
0,0,0,0,1,13036
0,0,0,0,1,13051
0,0,0,0,1,13069
0,0,0,0,1,13086
0,0,0,0,1,13102
0,0,0,0,1,13119
0,0,0,0,1,13134
0,0,0,0,1,13151
0,0,0,0,1,13168
0,0,0,0,1,13185
0,0,0,0,1,13202
0,0,0,0,1,13219
0,0,0,0,1,13234
0,0,0,0,1,13252
0,0,0,0,1,13269
0,0,0,0,1,13286
0,0,0,0,1,13302
0,0,0,0,1,13318
0,0,0,0,1,13335
0,0,0,0,1,13351
0,0,0,0,1,13369
0,0,0,0,1,13384
0,0,0,0,1,13401
0,0,0,0,1,13419
0,0,0,0,1,13435
0,0,0,0,1,13452
0,0,0,0,1,13469
0,0,0,0,1,13484
0,0,0,0,1,13502
0,0,0,0,1,13519
0,0,0,0,1,13535
0,0,0,0,1,13551
0,0,0,0,1,13569
0,0,0,0,1,13585
0,0,0,0,1,13602
0,0,0,0,1,13619
0,0,0,0,1,13635
0,0,0,0,1,13651
0,0,0,0,1,13669
0,0,0,0,1,13684
0,0,0,0,1,13701
0,0,0,0,1,13719
0,0,0,0,1,13734
0,0,0,0,1,13751
0,0,0,0,1,13768
0,0,0,0,1,13784
0,0,0,0,1,13801
0,0,0,0,1,13818
0,0,0,0,1,13835
0,0,0,0,1,13851
0,0,0,0,1,13869
0,0,0,0,1,13884
0,0,0,0,1,13901
0,0,0,0,1,13918
0,0,0,0,1,13935
0,0,0,0,1,13951
0,0,0,0,1,13969
0,0,0,0,1,13985
0,0,0,0,1,14002
0,0,0,0,1,14019
0,0,0,0,1,14035
0,0,0,0,1,14051
0,0,0,0,1,14069
0,0,0,0,1,14085
0,0,0,0,1,14102
0,0,0,0,1,14118
0,0,0,0,1,14135
0,0,0,0,1,14152
0,0,0,0,1,14169
0,0,0,0,1,14185
0,0,0,0,1,14201
0,0,0,0,1,14218
0,0,0,0,1,14235
0,0,0,0,1,14251
0,0,0,0,1,14268
0,0,0,0,1,14285
0,0,0,0,1,14301
0,0,0,0,1,14319
0,0,0,0,1,14334
0,0,0,0,1,14351
0,0,0,0,1,14369
0,0,0,0,1,14385
0,0,0,0,1,14401
