head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,lick_in,loom_cur_distance,ms_now
0,0,0,0.5,0.49491,180,0,0,0.5774,7158
0,0,0,0.5,0.49491,180,0,0,0.5774,7175
0,0,0,0.5,0.49491,180,0,0,0.5774,7193
0,0,0,0.5,0.49491,180,0,0,0.5774,7209
0,0,0,0.5,0.49491,180,0,0,0.5774,7225
0,0,0,0.5,0.49491,180,0,0,0.5774,7242
0,0,0,0.5,0.49491,180,0,0,0.5774,7258
0,0,0,0.5,0.49491,180,0,0,0.5774,7275
0,0,0,0.5,0.49491,180,0,0,0.5774,7292
0,0,0,0.5,0.49491,180,0,0,0.5774,7308
0,0,0,0.5,0.49491,180,0,0,0.5774,7325
0,0,0,0.5,0.49491,180,0,0,0.5774,7343
-16,64,0,0.5,0.50355,180,0,0,0.5774,7358
-18,71,0,0.5,0.513135,180,0,0,0.5774,7376
-25,108,0,0.5,0.527715,180,0,0,0.5774,7393
-13,66,0,0.5,0.536625,180,0,0,0.5774,7408
-15,86,0,0.5,0.548235,180,0,0,0.5774,7426
-7,49,0,0.5,0.55485,180,0,0,0.5774,7442
-5,39,0,0.5,0.560115,180,0,0,0.5774,7459
-5,47,0,0.5,0.56646,180,0,0,0.5774,7476
-2,20,0,0.5,0.56916,180,0,0,0.5774,7492
-2,10,0,0.5,0.57051,180,0,0,0.5774,7509
0,0,0,0.5,0.57051,180,0,0,0.5774,7525
0,0,0,0.5,0.57051,180,0,0,0.5774,7542
0,0,0,0.5,0.57051,180,0,0,0.5774,7558
0,0,0,0.5,0.57051,180,0,0,0.5774,7575
0,0,0,0.5,0.57051,180,0,0,0.5774,7592
0,0,0,0.5,0.57051,180,0,0,0.5774,7608
0,0,0,0.5,0.57051,180,0,0,0.5774,7625
0,0,0,0.5,0.57051,180,0,0,0.5774,7642
0,0,0,0.5,0.57051,180,0,0,0.5774,7658
0,0,0,0.5,0.57051,180,0,0,0.5774,7675
0,0,0,0.5,0.57051,180,0,0,0.5774,7691
0,0,0,0.5,0.57051,180,0,0,0.5774,7708
-15,92,0,0.5,0.58293,180,0,0,0.5774,7725
-16,73,0,0.5,0.592785,180,0,0,0.5774,7742
-15,74,0,0.5,0.602775,180,0,0,0.5774,7759
-21,105,0,0.5,0.61695,180,0,0,0.5774,7776
-11,60,0,0.5,0.62505,180,0,0,0.5774,7792
-8,74,0,0.5,0.63504,180,0,0,0.5774,7809
-4,38,0,0.5,0.64017,180,0,0,0.5774,7825
-2,30,0,0.5,0.64422,180,0,0,0.5774,7842
-3,32,0,0.5,0.64854,180,0,0,0.5774,7859
-2,10,0,0.5,0.64989,180,0,0,0.5774,7875
0,0,0,0.5,0.64989,180,0,0,0.5774,7892
0,0,0,0.5,0.64989,180,0,0,0.5774,7908
0,0,0,0.5,0.64989,180,0,0,0.5774,7925
0,0,0,0.5,0.64989,180,0,0,0.5774,7942
0,0,0,0.5,0.64989,180,0,0,0.5774,7958
0,0,0,0.5,0.64989,180,0,0,0.5774,7975
